Eh	I	EH
pourquoi	Pt	POURQUOI
nous	Pp	NOUS
avons	Vuc	AVOIR
tant	Rg	TANT
tardé	Ge	TARDER
à	S	À
les	Pp	ILS
imiter	Vvn	IMITER
,	Fw	,
puisque	Cs	PUISQUE
voilà	S	VOILÀ
un	Dn	UN
grand	Ag	GRAND
nombre	Nc	NOMBRE
de	S	DE
chaises	Nc	CHAISE
...	Fs	...
Ils	Vvc	Ils
s'	Pp	SE
asseyent	Vvc	ASSEOIR
tous	Pi	TOUT
sur	S	SUR
le	Da	LE
théâtre	Nc	THÉÂTRE
en	S	EN
demi	Ag	DEMI
cercle	Nc	CERCLE
.	Fs	.
Milord	Nc	MILORD
fume	Vvc	FUMER
toujours	Rg	TOUJOURS
la	Da	LE
pipe	Nc	PIPE
,	Fw	,
arrange	Vvc	ARRANGER
sa	Ds	SON
chaise	Nc	CHAISE
,	Fw	,
de	S	DE
manière	Nc	MANIÈRE
qu'	Pr	QUE
il	Pp	IL
leur	Pp	LEUR
tourne	Vvc	TOURNER
le	Da	LE
dos	Nc	DOS
.	Fs	.
Une	Dn	UN
histoire	Nc	HISTOIRE
!	Fs	!
Je	Pp	JE
les	Pp	ILS
aime	Vvc	AIMER
à	S	À
la	Da	LE
folie	Nc	FOLIE
.	Fs	.
Écoutons	Vvc	Écoutons
bien	Rg	BIEN
,	Fw	,
Madame	Nc	MADAME
la	Pp	IL
Présidente	Vvc	Présidente
.	Fs	.
Écoutons	Nc	Écoutons
,	Fw	,
Madame	Nc	MADAME
la	Pp	IL
Baronne	Vvc	BARONNER
,	Fw	,
j'	Pp	JE
aime	Vvc	AIMER
aussi	Rg	AUSSI
les	Da	LE
histoires	Nc	HISTOIRE
.	Fs	.
Je	Pp	JE
voyageais	Vvc	VOYAGER
avec	S	AVEC
Milord	Nc	MILORD
Brumton	Nc	Brumton
...	Fs	...
Milord	Vvc	Milord
Brumton	Nc	Brumton
!	Fs	!
C'	Pd	CE
est	Vuc	ÊTRE
de	S	DE
moi	Pp	JE
qu'	Cs	QUE
on	Pp	ON
parle	Vvc	PARLER
,	Fw	,
écoutons	Vvc	ÉCOUTER
.	Fs	.
Vous	Pp	VOUS
le	Pp	IL
connaissez	Vvc	CONNAÎTRE
peut-être	Rg	PEUT-ÊTRE
.	Fs	.
N'	Rp	NE
est	Vuc	ÊTRE
-ce	Vvc	-ce
pas	Rg	PAS
un	Dn	UN
petit	Ag	PETIT
homme	Nc	HOMME
d'	S	DE
assez	Rg	ASSEZ
mauvaise	Ag	MAUVAIS
mine	Nc	MINE
?	Fs	?
Dont	Pr	DONT
la	Da	LE
figure	Nc	FIGURE|FIGURÉ
n'	Rp	NE
a	Vuc	AVOIR
rien	Pi	RIEN
de	S	DE
distingué	Ge	DISTINGUER
,	Fw	,
et	Cc	ET
qui	Pr	QUI
n'	Rp	NE
a	Vuc	AVOIR
pas	Rg	PAS
encore	Rg	ENCORE
pu	Ge	POUVOIR
se	Pp	IL
former	Vvn	FORMER
à	S	À
nos	Ds	NOTRE
manières	Nc	MANIÈRE
,	Fw	,
quoiqu'il	Cs	quoiqu'il
voyage	Nc	VOYAGE
sans	S	SANS
cesse	Nc	CESSE
.	Fs	.
Me	Pp	JE
peindre	Vvn	PEINDRE
ainsi	Rg	AINSI
sans	S	SANS
me	Pp	JE
connaître	Vvn	CONNAÎTRE
!	Fs	!
Goddam	Nc	Goddam
!	Fs	!
Voilà	Vvc	Voilà
de	S	DE
plaisants	Nc	PLAISANT
originaux	Ag	ORIGINAL
!	Fs	!
Justement	Rg	JUSTEMENT
,	Fw	,
Messieurs	Nc	MONSIEUR
,	Fw	,
je	Pp	JE
vois	Vvc	ALLER|VOIR
que	Cs	QUE
vous	Pp	VOUS
le	Pp	IL
connaissez	Vvc	CONNAÎTRE
à	S	À
merveilles	Nc	MERVEILLE
.	Fs	.
Mais	Cc	MAIS
la	Da	LE
mine	Nc	MINE
et	Cc	ET
les	Da	LE
manières	Nc	MANIÈRE
ne	Rp	NE
font	Vvc	FAIRE
rien	Pi	RIEN
à	S	À
mon	Ds	MON
histoire	Nc	HISTOIRE
.	Fs	.
Vous	Pp	VOUS
n'	Rp	NE
ignorez	Vvc	IGNORER
pas	Rg	PAS
que	Cs	QUE
Milord	Vvc	Milord
Brumton	Nc	Brumton
est	Vuc	ÊTRE
d'	S	DE
une	Dn	UN
des	S+Da	DE+LE|DE+LES
plus	Rg	PLUS
anciennes	Ag	ANCIEN
maisons	Nc	MAISON
d'	S	DE
Ecosse	Vvc	ÉCOSSER
,	Fw	,
et	Cc	ET
...	Fw	...
Oui	Vvc	Oui
,	Fw	,
je	Pp	JE
connais	Vvc	CONNAÎTRE
sa	Ds	SON
généalogie	Nc	GÉNÉALOGIE
,	Fw	,
et	Cc	ET
l'	Da	LE
autre	Ag	AUTRE
jour	Nc	JOUR
en	S	EN
parcourant	Ga	PARCOURIR
mes	Ds	MON
titres	Nc	TITRE
,	Fw	,
je	Pp	JE
crois	Vvc	CROIRE|CROÎTRE
m'	Pp	JE
être	Vun	ÊTRE
aperçu	Ge	APERCEVOIR
que	Cs	QUE
nous	Pp	NOUS
étions	Vuc	ÊTRE
alliés	Ge	ALLIER
par	S	PAR
les	Da	LE
femmes	Nc	FEMME
.	Fs	.
Je	Pp	JE
crois	Vvc	CROIRE|CROÎTRE
me	Pp	JE
souvenir	Vvn	SOUVENIR
que	Cs	QUE
nous	Pp	NOUS
sommes	Vuc	ÊTRE
cousins	Nc	COUSIN
à	S	À
la	Da	LE
mode	Nc	MODE
de	S	DE
Bretagne	Nc	Bretagne
.	Fs	.
Les	Da	LE
faquins	Nc	FAQUIN
!	Fs	!
Voyons	Vvc	VOIR
jusqu'	S	JUSQUE
où	Pr	OÙ
ira	Vvc	ALLER
leur	Ds	LEUR
impertinence	Nc	IMPERTINENCE
.	Fs	.
Je	Pp	JE
vous	Pp	VOUS
disais	Vvc	DIRE
donc	Rg	DONC
que	Cs	QUE
je	Pp	JE
voyageais	Vvc	VOYAGER
avec	S	AVEC
Milord	Nc	MILORD
Brumton	Nc	Brumton
...	Fs	...
Montrant	Ga	MONTRER
Milord	Vvc	Milord
.	Fs	.
Mais	Cc	MAIS
voyez	Vvc	VOIR
-vous	Nc	-vous
notre	Ds	NOTRE
homme	Nc	HOMME
comme	Cs	COMME
il	Pp	IL
écoute	Vvc	ÉCOUTER
!	Fs	!
Il	Pp	IL
aime	Vvc	AIMER
aussi	Rg	AUSSI
les	Da	LE
histoires	Nc	HISTOIRE
.	Fs	.
Comme	Cs	COMME
il	Pp	IL
a	Vuc	AVOIR
quitté	Ge	QUITTER
sa	Ds	SON
pipe	Nc	PIPE
au	S+Da	À+LE
nom	Nc	NOM
de	S	DE
Milord	Nc	MILORD
Brumton	Nc	Brumton
!	Fs	!
C'	Pd	CE
est	Vuc	ÊTRE
que	Cs	QUE
le	Da	LE
nom	Nc	NOM
de	S	DE
Milord	Nc	MILORD
sonne	Vvc	SONNER
haut	Ag	HAUT
à	S	À
de	Dn	UN
certaines	Ag	CERTAIN
oreilles	Nc	OREILLE
.	Fs	.
Mais	Cc	MAIS
plus	Rg	PLUS
de	S	DE
chuchotage	Nc	chuchotage
,	Fw	,
je	Pp	JE
vous	Pp	VOUS
prie	Vvc	PRIER
,	Fw	,
le	Da	LE
faible	Nc	FAIBLE
des	S+Da	DE+LE|DE+LES
gens	Nc	GENS|GENT
de	S	DE
qualité	Nc	QUALITÉ
,	Fw	,
est	Vuc	ÊTRE
de	S	DE
vouloir	Vvn	VOULOIR
qu'	Cs	QUE
on	Pp	ON
les	Pp	ILS
écoute	Vvc	ÉCOUTER
;	Fw	;
c'	Pd	CE
est	Vuc	ÊTRE
le	Da	LE
mien	Ps	MIEN
,	Fw	,
je	Pp	JE
l'	Pp	IL
avoue	Vvc	AVOUER
:	Fw	:
ainsi	Rg	AINSI
donc	Rg	DONC
ne	Rp	NE
m'	Pp	JE
interrompez	Vvc	INTERROMPRE
plus	Rg	PLUS
.	Fs	.
Je	Pp	JE
voyageais	Vvc	VOYAGER
avec	S	AVEC
Milord	Nc	MILORD
Brumton	Nc	Brumton
et	Cc	ET
le	Da	LE
Prince	Ag	Prince
Salvator	Nc	Salvator
.	Fs	.
Le	Pp	IL
Prince	Vvc	Prince
Salvator	Nc	Salvator
!	Fs	!
...	Fs	...
À	Nc	À
vous	Pp	VOUS
le	Da	LE
dé	Nc	DÉ
,	Fw	,
Monseigneur	Nc	MONSEIGNEUR
,	Fw	,
vous	Pp	VOUS
allez	Vvc	ALLER
bien	Rg	BIEN
écouter	Vvn	ÉCOUTER
;	Fw	;
car	Cc	CAR
vous	Pp	VOUS
aimez	Vvc	AIMER
aussi	Rg	AUSSI
les	Da	LE
histoires	Nc	HISTOIRE
.	Fs	.
Tais	Vvc	TAIRE
-toi	Vvc	-toi
donc	Rg	DONC
,	Fw	,
si	Cs	SI
tu	Pp	TU
veux	Vvc	VOULOIR
que	Cs	QUE
j'	Pp	JE
écoute	Vvc	ÉCOUTER
.	Fs	.
Encore	Rg	ENCORE
du	S+Da	DE+LE
bruit	Nc	BRUIT
!	Fs	!
Encore	Rg	ENCORE
des	Dn	UN
commentaires	Nc	COMMENTAIRE
?	Fs	?
Vous	Pp	VOUS
ne	Rp	NE
voulez	Vvc	VOULOIR
donc	Rg	DONC
pas	Rg	PAS
que	Cs	QUE
je	Pp	JE
continue	Vvc	CONTINUER
?	Fs	?
Voilà	Vvc	Voilà
bien	Rg	BIEN
les	Da	LE
dames	Nc	DAME
:	Fw	:
elles	Pp	ILS
aiment	Vvc	AIMER
les	Da	LE
histoires	Nc	HISTOIRE
et	Cc	ET
les	Pp	ILS
coupent	Vvc	COUPER
.	Fs	.
Est	Vuc	ÊTRE
-ce	Vvc	-ce
que	Cs	QUE
vous	Pp	VOUS
avez	Vuc	AVOIR
coupé	Ge	COUPER
Monsieur	Nc	MONSIEUR
,	Fw	,
Madame	Nc	MADAME
la	Pp	IL
Présidente	Vvc	Présidente
?	Fs	?
Non	Rg	NON
assurément	Rg	ASSURÉMENT
,	Fw	,
je	Pp	JE
n'	Rp	NE
ai	Vuc	AVOIR
pas	Rg	PAS
dit	Ge	DIRE
une	Dn	UN
parole	Nc	PAROLE
.	Fs	.
Qui	Pt	QUI
est	Vuc	ÊTRE
-ce	Vvc	-ce
donc	Rg	DONC
qui	Pr	QUI
vient	Vvc	VENIR
de	S	DE
m'	Pp	JE
interrompre	Vvn	INTERROMPRE
!	Fs	!
Ce	Pd	CE
n'	Rp	NE
est	Vuc	ÊTRE
sûrement	Rg	SÛREMENT
pas	Rg	PAS
notre	Ds	NOTRE
silencieux	Ag	SILENCIEUX
camarade	Nc	CAMARADE
;	Fw	;
car	Cc	CAR
il	Pp	IL
ne	Rp	NE
parle	Vvc	PARLER
pas	Rg	PAS
plus	Rg	PLUS
À	Nc	À
demi	Ag	DEMI
voix	Nc	VOIX
.	Fs	.
qu'	Cs	QUE
il	Pp	IL
ne	Rp	NE
pense	Vvc	PENSER
.	Fs	.
C'	Pd	CE
est	Vuc	ÊTRE
peut-être	Rg	PEUT-ÊTRE
le	Da	LE
vent	Nc	VENT
qui	Pr	QUI
vient	Vvc	VENIR
de	S	DE
souffler	Vvn	SOUFFLER
dans	S	DANS
les	Da	LE
croisées	Nc	CROISÉ|CROISÉE
.	Fs	.
Ce	Pd	CE
sont	Vuc	ÊTRE
les	Da	LE
chevaux	Nc	CHEVAL|CHEVAU|CHEVAUX
peut-être	Rg	PEUT-ÊTRE
qui	Pr	QUI
se	Pp	IL
battent	Vvc	BATTRE
dans	S	DANS
l'	Da	LE
écurie	Nc	ÉCURIE
,	Fw	,
et	Cc	ET
dont	Pr	DONT
le	Da	LE
bruit	Nc	BRUIT
est	Vuc	ÊTRE
monté	Ge	MONTER
jusqu'	S	JUSQUE
ici	Rg	ICI
.	Fs	.
Continuez	Vvc	CONTINUER
donc	Rg	DONC
votre	Ds	VOTRE
histoire	Nc	HISTOIRE
;	Fw	;
car	Cc	CAR
tout	Di	TOUT
le	Da	LE
monde	Nc	MONDE
a	Vuc	AVOIR
la	Da	LE
plus	Rg	PLUS
grande	Ag	GRAND
envie	Nc	ENVIE
de	S	DE
l'	Pp	IL
entendre	Vvn	ENTENDRE
.	Fs	.
Vous	Pp	VOUS
voyagiez	Vvc	VOYAGER
,	Fw	,
dites	Vvc	DIRE
-vous	Nc	-vous
,	Fw	,
avec	S	AVEC
Milord	Nc	MILORD
Brumton	Nc	Brumton
et	Cc	ET
le	Da	LE
Prince	Ag	Prince
Salvator	Nc	Salvator
.	Fs	.
Eh	I	EH
bien	Rg	BIEN
donc	Rg	DONC
!	Fs	!
Je	Pp	JE
continue	Vvc	CONTINUER
.	Fs	.
Lorsque	Cs	LORSQUE
ces	Dd	CE
deux	Nc	DEUX
Seigneurs	Ag	Seigneurs
et	Cc	ET
moi	Pp	JE
eûmes	Vuc	AVOIR
fait	Ge	FAIRE
une	Dn	UN
cinquantaine	Nc	CINQUANTAINE
de	S	DE
lieues	Nc	LIEUE
ensemble	Rg	ENSEMBLE
,	Fw	,
nous	Pp	NOUS
descendîmes	Vvc	DESCENDRE
dans	S	DANS
une	Dn	UN
auberge	Nc	AUBERGE
,	Fw	,
dont	Pr	DONT
la	Da	LE
maîtresse	Nc	MAÎTRE|MAÎTRESSE
était	Vuc	ÊTRE
jeune	Ag	JEUNE
,	Fw	,
jolie	Ag	JOLI
,	Fw	,
et	Cc	ET
d'	S	DE
une	Dn	UN
humeur	Nc	HUMEUR
gaie	Ag	GAI
et	Cc	ET
folâtre	Ag	FOLÂTRE
.	Fs	.
Charmés	Vvc	Charmés
de	S	DE
Sa	Ag	Sa
figure	Nc	FIGURE|FIGURÉ
,	Fw	,
nous	Pp	NOUS
la	Pp	IL
priâmes	Vvc	PRIER
de	S	DE
souper	Nc	SOUPER
avec	S	AVEC
nous	Pp	NOUS
:	Fw	:
nous	Pp	NOUS
étions	Vuc	ÊTRE
vêtus	Ge	VÊTIR
en	S	EN
voyageurs	Nc	VOYAGEUR
,	Fw	,
à	S	À
peu-près	Vvc	peu-près
comme	Cs	COMME
je	Pp	JE
le	Pp	IL
suis	Vuc	ÊTRE
à	S	À
présent	Nc	PRÉSENT
,	Fw	,
sans	S	SANS
marque	Nc	MARQUE
distinctive	Ag	DISTINCTIF
,	Fw	,
sans	S	SANS
dorure	Nc	DORURE
,	Fw	,
sans	S	SANS
épée	Nc	ÉPÉE
,	Fw	,
un	Dn	UN
habit	Nc	HABIT
tout	Rg	TOUT
simple	Ag	SIMPLE
,	Fw	,
et	Cc	ET
un	Dn	UN
chapeau	Nc	CHAPEAU
rabattu	Ge	RABATTRE
.	Fs	.
L'	Da	LE
hôtesse	Nc	HÔTE|HÔTESSE
était	Vuc	ÊTRE
loin	Rg	LOIN
de	S	DE
nous	Pp	NOUS
prendre	Vvn	PRENDRE
pour	S	POUR
ce	Pd	CE
que	Pr	QUE
nous	Pp	NOUS
étions	Vuc	ÊTRE
,	Fw	,
de	S	DE
soupçonner	Vvn	SOUPÇONNER
même	Pi	MÊME
ce	Pd	CE
que	Pr	QUE
nous	Pp	NOUS
pouvions	Vvc	POUVOIR
être	Vun	ÊTRE
;	Fw	;
elle	Pp	IL
se	Pp	IL
mit	Vvc	METTRE
donc	Rg	DONC
à	S	À
table	Nc	TABLE
avec	S	AVEC
nous	Pp	NOUS
.	Fs	.
La	Da	LE
bonne	Ag	BON
petite	Ag	PETIT
femme	Nc	FEMME
commençait	Vvc	COMMENCER
à	S	À
nous	Pp	NOUS
charmer	Vvn	CHARMER
par	S	PAR
ses	Ds	SON
reparties	Nc	REPARTIE
vives	Ag	VIF
,	Fw	,
par	S	PAR
ses	Ds	SON
fines	Ag	FIN
plaisanteries	Nc	PLAISANTERIE
,	Fw	,
et	Cc	ET
surtout	Rg	SURTOUT
par	S	PAR
fa	Nc	FA
familiarité	Nc	FAMILIARITÉ
naïve	Ag	NAÏF
;	Fw	;
nous	Pp	NOUS
étions	Vuc	ÊTRE
aux	S+Da	À+LES
anges	Nc	ANGE
,	Fw	,
tout	Di	TOUT
le	Da	LE
monde	Nc	MONDE
riait	Vvc	RIRE
,	Fw	,
tout	Di	TOUT
le	Da	LE
monde	Nc	MONDE
était	Vuc	ÊTRE
heureux	Ag	HEUREUX
.	Fs	.
Voilà-t-il	Vvc	Voilà-t-il
pas	Rg	PAS
qu'	Cs	QUE
un	Pi	UN
de	S	DE
nous	Pp	NOUS
appelle	Vvc	APPELER
par	S	PAR
son	Ds	SON
nom	Nc	NOM
un	Dn	UN
de	S	DE
ses	Ds	SON
compagnons	Nc	COMPAGNON
de	S	DE
voyage	Nc	VOYAGE
!	Fs	!
À	Vvc	À
ce	Dd	CE
nom	Nc	NOM
illustre	Ag	ILLUSTRE
,	Fw	,
la	Da	LE
petite	Ag	PETIT
femme	Nc	FEMME
se	Pp	IL
trouble	Vvc	TROUBLER
,	Fw	,
son	Ds	SON
front	Nc	FRONT
s'	Pp	SE
obscurcit	Vvc	OBSCURCIR
,	Fw	,
son	Ds	SON
visage	Nc	VISAGE
s'	Pp	SE
allonge	Vvc	ALLONGER
;	Fw	;
elle	Pp	IL
avait	Vuc	AVOIR
eu	Ge	AVOIR
jusques	Nc	jusques
à	S	À
ce	Dd	CE
moment	Nc	MOMENT
le	Da	LE
ton	Nc	TON
de	S	DE
la	Da	LE
liberté	Nc	LIBERTÉ
la	Da	LE
plus	Rg	PLUS
aimable	Ag	AIMABLE
;	Fw	;
celui	Pd	CELUI
du	S+Da	DE+LE
respect	Nc	RESPECT
lui	Pp	IL
succède	Vvc	SUCCÉDER
,	Fw	,
elle	Pp	IL
devient	Vvc	DEVENIR|DÉVIER
réservée	Ge	RÉSERVER
,	Fw	,
cérémonieuse	Ag	CÉRÉMONIEUX
,	Fw	,
froide	Ag	FROID
,	Fw	,
et	Cc	ET
le	Da	LE
souper	Nc	SOUPER
finit	Vvc	FINIR
aussi	Rg	AUSSI
tristement	Rg	TRISTEMENT
qu'	Cs	QUE
il	Pp	IL
avait	Vuc	AVOIR
gaiement	Nc	gaiement
commencé	Ge	COMMENCER
.	Fs	.
Jugez	Vvc	JUGER
après	S	APRÈS
cela	Pd	CELA
si	Rg	SI
...	Fs	...
Que	Vvc	Que
de	S	DE
mensonges	Nc	MENSONGE
!	Fs	!
Que	Cs	QUE
de	S	DE
sottises	Nc	SOTTISE
!	Fs	!
Sortons	Vvc	SORTIR
,	Fw	,
je	Pp	JE
n'	Rp	NE
y	Pp	Y
peux	Vvc	POUVOIR
plus	Rg	PLUS
tenir	Vvn	TENIR
.	Fs	.
Ahi	Ge	Ahi
!	Fs	!
Ahi	Ge	Ahi
!	Fs	!
L'	Pp	IL
on	Pp	ON
devrait	Vvc	DEVOIR
bien	Rg	BIEN
prendre	Vvn	PRENDRE
garde	Nc	GARDE
où	Pr	OÙ
l'	Pp	IL
on	Pp	ON
marche	Vvc	MARCHER
,	Fw	,
quand	Cs	QUAND
on	Pp	ON
a	Vuc	AVOIR
cette	Dd	CE
tournure	Nc	TOURNURE
.	Fs	.
Eh	I	EH
quoi	Pt	QUE|QUOI
!	Fs	!
Monsieur	Nc	MONSIEUR
,	Fw	,
le	Pp	IL
Prince	Vvc	Prince
Salvator	Nc	Salvator
,	Fw	,
Milord	Vvc	Milord
Brumton	Nc	Brumton
et	Cc	ET
vous	Pp	VOUS
,	Fw	,
vous	Pp	VOUS
ne	Rp	NE
rougîtes	Vvc	ROUGIR
pas	Rg	PAS
de	S	DE
souper	Nc	SOUPER
avec	S	AVEC
une	Dn	UN
aubergiste	Nc	AUBERGISTE
?	Fs	?
Hélas	Vvc	Hélas
!	Fs	!
Madame	Nc	MADAME
,	Fw	,
il	Pp	IL
est	Vuc	ÊTRE
bien	Rg	BIEN
vrai	Ag	VRAI
que	Cs	QUE
nous	Pp	NOUS
nous	Pp	NOUS
abaissâmes	Vvc	ABAISSER
un	Dn	UN
peu	Rg	PEU
,	Fw	,
en	S	EN
l'	Pp	IL
admettant	Ga	ADMETTRE
à	S	À
notre	Ds	NOTRE
table	Nc	TABLE
;	Fw	;
mais	Cc	MAIS
outre	Rg	OUTRE
qu'	Cs	QUE
elle	Pp	IL
était	Vuc	ÊTRE
fort	Rg	FORT
appétissante	Ag	APPÉTISSANT
,	Fw	,
le	Pp	IL
Prince	Vvc	Prince
Salvator	Nc	Salvator
lui	Pp	IL
trouva	Vvc	TROUVER
quelque	Di	QUELQUE
ressemblance	Nc	RESSEMBLANCE
avec	S	AVEC
Milady	Nc	MILADY
Semours	Nc	Semours
,	Fw	,
femme	Nc	FEMME
célèbre	Ag	CÉLÈBRE
par	S	PAR
ses	Ds	SON
charmes	Nc	CHARME
,	Fw	,
et	Cc	ET
à	S	À
qui	Pr	QUI
dans	S	DANS
ce	Dd	CE
temps	Nc	TEMPS
-là	Vvc	-là
j'	Pp	JE
avais	Vuc	AVOIR
l'	Da	LE
honneur	Nc	HONNEUR
de	S	DE
faire	Vvn	FAIRE
ma	Ds	MON
cour	Nc	COUR
.	Fs	.
L'	Da	LE
impertinent	Nc	IMPERTINENT
!	Fs	!
Quel	Dt	QUEL
nom	Nc	NOM
charmant	Ga	CHARMER
il	Pp	IL
profane	Vvc	PROFANER
!	Fs	!
Milady	Nc	MILADY
Semours	Nc	Semours
!	Fs	!
C'	Pd	CE
est	Vuc	ÊTRE
vraiment	Rg	VRAIMENT
une	Dn	UN
jolie	Ag	JOLI
femme	Nc	FEMME
.	Fs	.
J'	Pp	JE
ai	Vuc	AVOIR
eu	Ge	AVOIR
aussi	Rg	AUSSI
l'	Da	LE
honneur	Nc	HONNEUR
de	S	DE
la	Pp	IL
courtiser	Vvn	COURTISER
,	Fw	,
et	Cc	ET
si	Cs	SI
j'	Pp	JE
avais	Vuc	AVOIR
voulu	Ge	VOULOIR
pousser	Vvn	POUSSER
ma	Ds	MON
pointe	Nc	POINTE|POINTÉ
auprès	Rg	AUPRÈS
d'	S	DE
elle	Pp	IL
,	Fw	,
je	Pp	JE
crois	Vvc	CROIRE|CROÎTRE
que	Rg	QUE
...	Fs	...
Eh	Nc	Eh
bien	Rg	BIEN
!	Fs	!
Vous	Pp	VOUS
croyez	Vvc	CROIRE
que	Rg	QUE
...	Fs	...
Je	Vvc	Je
crois	Vvc	CROIRE|CROÎTRE
qu'	Cs	QUE
elle	Pp	IL
se	Pp	IL
serait	Vuc	ÊTRE
coiffée	Ge	COIFFER
de	S	DE
moi	Pp	JE
,	Fw	,
comme	Cs	COMME
beaucoup	Rg	BEAUCOUP
d'	S	DE
autres	Pi	AUTRE
.	Fs	.
L'	Da	LE
insolent	Nc	INSOLENT
!	Fs	!
Il	Pp	IL
faut	Vvc	FAILLIR|FALLOIR
que	Cs	QUE
je	Pp	JE
l'	Pp	IL
assomme	Vvc	ASSOMMER
.	Fs	.
Laissez	Vvc	LAISSER
,	Fw	,
laissez	Vvc	LAISSER
,	Fw	,
Monseigneur	Nc	MONSEIGNEUR
:	Fw	:
il	Pp	IL
veut	Vvc	VOULOIR
dire	Vvn	DIRE
qu'	Cs	QUE
il	Pp	IL
l'	Pp	IL
a	Vuc	AVOIR
coiffée	Ge	COIFFER
,	Fw	,
ne	Rp	NE
voyez	Vvc	VOIR
vous	Pp	VOUS
pas	Rg	PAS
que	Cs	QUE
c'	Pd	CE
est	Vuc	ÊTRE
une	Dn	UN
méprise	Nc	MÉPRISE
.	Fs	.
Souper	Nc	SOUPER
avec	S	AVEC
une	Dn	UN
aubergiste	Nc	AUBERGISTE
!	Fs	!
Fi	Rg	FI
donc	Rg	DONC
,	Fw	,
Monsieur	Nc	MONSIEUR
!	Fs	!
J'	Pp	JE
aurais	Vuc	AVOIR
envoyé	Ge	ENVOYER
paître	Vvn	PAÎTRE
tous	Di	TOUT
les	Da	LE
Princes	Nc	PRINCE
du	S+Da	DE+LE
monde	Nc	MONDE
plutôt	Rg	PLUTÔT
que	Rg	QUE
...	Fs	...
Vous	Nc	Vous
avez	Vuc	AVOIR
raison	Nc	RAISON
,	Fw	,
Madame	Nc	MADAME
:	Fw	:
il	Pp	IL
y	Pp	Y
a	Vuc	AVOIR
de	S	DE
certaines	Di	CERTAIN
gens	Nc	GENS|GENT
qui	Pr	QUI
ne	Rp	NE
devraient	Vvc	DEVOIR
jamais	Rg	JAMAIS
manger	Vvn	MANGER
qu'	Cs	QUE
avec	S	AVEC
des	Dn	UN
Rois	Vvc	Rois
ou	Cc	OU
des	S+Da	DE+LE|DE+LES
Grands	Nc	GRAND
d'	S	DE
Espagne	Nc	Espagne
de	S	DE
la	Da	LE
première	Nc	PREMIER|PREMIÈRE
classe	Ag	CLASSE
.	Fs	.
J'	Pp	JE
excepte	Vvc	EXCEPTER
pourtant	Rg	POURTANT
les	Da	LE
Baronnes	Nc	BARON|BARONNE
et	Cc	ET
les	Da	LE
Présidentes	Nc	Présidentes
,	Fw	,
quand	Cs	QUAND
elles	Pp	ILS
ont	Vuc	AVOIR
cet	Dd	CE
air	Nc	AIR
de	S	DE
grandeur	Nc	GRANDEUR
qui	Pr	QUI
m'	Pp	JE
a	Vuc	AVOIR
frappé	Ge	FRAPPER
en	S	EN
vous	Pp	VOUS
,	Fw	,
Mesdames	Vvc	Mesdames
.	Fs	.
Ma	Ds	MON
foi	Nc	FOI
,	Fw	,
Monsieur	Nc	MONSIEUR
,	Fw	,
je	Pp	JE
n'	Rp	NE
aime	Vvc	AIMER
pas	Rg	PAS
à	S	À
déroger	Vvn	DÉROGER
plus	Rg	PLUS
qu'	Cs	QUE
un	Dn	UN
autre	Pi	AUTRE
;	Fw	;
mais	Cc	MAIS
il	Pp	IL
y	Pp	Y
a	Vuc	AVOIR
dans	S	DANS
la	Da	LE
roture	Nc	ROTURE
des	S+Da	DE+LE|DE+LES
gens	Nc	GENS|GENT
qui	Pr	QUI
dînent	Vvc	DÎNER
a	S	À
merveille	Nc	MERVEILLE
,	Fw	,
et	Cc	ET
dès	S	DÈS
qu'	Cs	QUE
on	Pp	ON
a	Vuc	AVOIR
un	Dn	UN
cuisinier	Nc	CUISINIER
habile	Ag	HABILE
,	Fw	,
je	Pp	JE
vous	Pp	VOUS
avoue	Vvc	AVOUER
que	Cs	QUE
je	Pp	JE
m'	Pp	JE
humanise	Vvc	HUMANISER
.	Fs	.
Puisque	Cs	PUISQUE
nous	Pp	NOUS
en	Pp	EN
sommes	Vuc	ÊTRE
sur	S	SUR
ce	Dd	CE
chapitre	Nc	CHAPITRE
,	Fw	,
permettez	Vvc	PERMETTRE
-moi	Vvc	-moi
,	Fw	,
Messieurs	Nc	MONSIEUR
,	Fw	,
de	S	DE
vous	Pp	VOUS
faire	Vvn	FAIRE
une	Dn	UN
question	Nc	QUESTION
bien	Rg	BIEN
naturelle	Ag	NATUREL
,	Fw	,
et	Cc	ET
qui	Pr	QUI
se	Pp	IL
présente	Vvc	PRÉSENTER
d'	S	DE
elle	Pp	IL
-même	Vvc	-même
.	Fs	.
Vous	Pp	VOUS
savez	Vvc	SAVOIR
que	Cs	QUE
dans	S	DANS
les	Da	LE
Auberges	Nc	AUBERGE
où	Pr	OÙ
s'	Pp	SE
arrête	Vvc	ARRÊTER
la	Da	LE
Diligence	Nc	DILIGENCE
,	Fw	,
tous	Di	TOUT
les	Da	LE
voyageurs	Nc	VOYAGEUR
soupent	Vvc	SOUPER
ensemble	Rg	ENSEMBLE
.	Fs	.
Dites	Vvc	DIRE
-moi	Vvc	-moi
donc	Rg	DONC
,	Fw	,
je	Pp	JE
vous	Pp	VOUS
prie	Vvc	PRIER
,	Fw	,
souperons-nous	Vvc	souperons-nous
ce	Dd	CE
soir	Nc	SOIR
avec	S	AVEC
les	Da	LE
deux	Nc	DEUX
