Cela	Pd	CELA
Je	Pp	JE
vous	Pp	VOUS
réponds	Vvc	RÉPONDRE
de	S	DE
l’événement	Nc	l’événement
,	Fw	,
et	Cc	ET
des	S+Da	DE+LE|DE+LES
suites	Nc	SUITE
.	Fs	.
Hé	Vvc	Hé
bien	Rg	BIEN
,	Fw	,
tope	Vvc	TOPER
,	Fw	,
vela	Vvc	VÊLER
qui	Pr	QUI
est	Vuc	ÊTRE
fait	Ge	FAIRE
.	Fs	.
Je	Pp	JE
m’en	Nc	m’en
vas	Vvc	ALLER
vou	Nc	vou
attendre	Vvn	ATTENDRE
;	Fw	;
aussi	Rg	AUSSI
bien	Rg	BIEN
velà	Vvc	velà
Monsieur	Ag	Monsieur
Blandineau	Nc	Blandineau
,	Fw	,
qui	Pr	QUI
,	Fw	,
m’est	Ag	m’est
avis	Nc	AVIS
,	Fw	,
veut	Vvc	VOULOIR
vous	Pp	VOUS
dire	Vvn	DIRE
queuque	Vvc	queuque
chose	Nc	CHOSE
.	Fs	.
Vous	Pp	VOUS
voilà	S	VOILÀ
en	S	EN
grande	Ag	GRAND
conférence	Nc	CONFÉRENCE
avec	S	AVEC
notre	Ds	NOTRE
Tabellion	Nc	TABELLION
?	Fs	?
Ce	Dd	CE
n’est	Nc	n’est
pas	Rg	PAS
moi	Pp	JE
qui	Pr	QUI
vous	Pp	VOUS
interromps	Vvc	INTERROMPRE
peut-être	Rg	PEUT-ÊTRE
?	Fs	?
En	S	EN
aucune	Di	AUCUN
façon	Nc	FAÇON
.	Fs	.
Vous	Pp	VOUS
m’avez	Vvc	m’avez
promis	Ge	PROMETTRE
votre	Ds	VOTRE
consentement	Nc	CONSENTEMENT
pour	S	POUR
ce	Dd	CE
mariage	Nc	MARIAGE
,	Fw	,
et	Cc	ET
...	Fw	...
Oui	Vvc	Oui
,	Fw	,
je	Pp	JE
vous	Pp	VOUS
le	Pp	IL
donne	Vvc	DONNER
de	S	DE
tout	Di	TOUT
mon	Ds	MON
cœur	Nc	cœur
:	Fw	:
mais	Cc	MAIS
je	Pp	JE
ne	Rp	NE
vous	Pp	VOUS
promets	Vvc	PROMETTRE
pas	Rg	PAS
que	Cs	QUE
mon	Ds	MON
consentement	Nc	CONSENTEMENT
détermine	Vvc	DÉTERMINER
ma	Ds	MON
belle-sœur	Nc	belle-sœur
à	S	À
vous	Pp	VOUS
épouser	Vvn	ÉPOUSER
.	Fs	.
Elle	Pp	IL
est	Vuc	ÊTRE
un	Dn	UN
peu	Rg	PEU
folle	Ag	FOU
,	Fw	,
comme	Cs	COMME
vous	Pp	VOUS
savez	Vvc	SAVOIR
;	Fw	;
et	Cc	ET
je	Pp	JE
m’étonne	Vvc	m’étonne
que	Cs	QUE
tous	Di	TOUT
les	Da	LE
travers	Nc	TRAVERS
que	Pr	QUE
vous	Pp	VOUS
lui	Pp	IL
connaissez	Vvc	CONNAÎTRE
,	Fw	,
ne	Rp	NE
vous	Pp	VOUS
corrigent	Vvc	CORRIGER
pas	Rg	PAS
de	S	DE
l’envie	Vvc	l’envie
que	Cs	QUE
vous	Pp	VOUS
avez	Vuc	AVOIR
d’en	Nc	d’en
faire	Vvn	FAIRE
votre	Ds	VOTRE
femme	Nc	FEMME
.	Fs	.
C’est	Nc	C’est
un	Dn	UN
vœu	Nc	vœu
que	Pr	QUE
j’ai	Vvc	j’ai
fait	Ge	FAIRE
,	Fw	,
Monsieur	Ag	Monsieur
Blandineau	Nc	Blandineau
,	Fw	,
de	S	DE
rendre	Vvn	RENDRE
une	Dn	UN
femme	Nc	FEMME
raisonnable	Ag	RAISONNABLE
,	Fw	,
et	Cc	ET
plus	Rg	PLUS
je	Pp	JE
la	Pp	IL
prendrai	Vvc	PRENDRE
folle	Ag	FOU
,	Fw	,
plus	Rg	PLUS
j’aurai	Vvc	j’aurai
du	S+Da	DE+LE
mérite	Nc	MÉRITE
à	S	À
réussir	Vvn	RÉUSSIR
.	Fs	.
Et	Cc	ET
plus	Rg	PLUS
de	S	DE
peine	Nc	PEINE
à	S	À
en	Pp	EN
venir	Vvn	VENIR
à	S	À
bout	Nc	BOUT
.	Fs	.
C’est	Nc	C’est
une	Dn	UN
chose	Nc	CHOSE
absolument	Rg	ABSOLUMENT
impossible	Ag	IMPOSSIBLE
.	Fs	.
Ma	Ds	MON
femme	Nc	FEMME
n’est	Ag	n’est
pas	Rg	PAS
à	S	À
beaucoup	Rg	BEAUCOUP
près	Rg	PRÈS
si	Rg	SI
extravagante	Ag	EXTRAVAGANT
que	Cs	QUE
sa	Ds	SON
sœur	Nc	sœur
,	Fw	,
et	Cc	ET
toutes	Di	TOUT
les	Da	LE
tentatives	Nc	TENTATIVE
que	Pr	QUE
j’ai	Vvc	j’ai
faites	Vvc	FAIRE
pour	S	POUR
régler	Vvn	RÉGLER
son	Ds	SON
esprit	Nc	ESPRIT
et	Cc	ET
ses	Ds	SON
manières	Nc	MANIÈRE
,	Fw	,
n’ont	Vvc	n’ont
jusqu’à	Nc	jusqu’à
présent	Ag	PRÉSENT
servi	Ge	SERVIR
de	S	DE
rien	Pi	RIEN
;	Fw	;
je	Pp	JE
serai	Vuc	ÊTRE
réduit	Vvc	RÉDUIRE
,	Fw	,
je	Pp	JE
pense	Vvc	PENSER
,	Fw	,
pour	S	POUR
éviter	Vvn	ÉVITER
les	Da	LE
altercations	Nc	ALTERCATION
que	Pr	QUE
nous	Pp	NOUS
avons	Vuc	AVOIR
tous	Di	TOUT
les	Da	LE
jours	Nc	JOUR|JOURS
ensemble	Rg	ENSEMBLE
,	Fw	,
à	S	À
prendre	Vvn	PRENDRE
le	Da	LE
parti	Nc	PARTI
d’extravaguer	Nc	d’extravaguer
avec	S	AVEC
elle	Pp	IL
,	Fw	,
puisqu’il	Cs	puisqu’il
n’y	Nc	n’y
a	Vuc	AVOIR
pas	Rg	PAS
moyen	Nc	MOYEN
qu’elle	Ag	qu’elle
soit	Vuc	ÊTRE
raisonnable	Ag	RAISONNABLE
avec	S	AVEC
moi	Pp	JE
.	Fs	.
Que	Pt	QUE
pouvez	Vvc	POUVOIR
-vous	Nc	-vous
faire	Vvn	FAIRE
de	S	DE
mieux	Nc	MIEUX
?	Fs	?
Vous	Pp	VOUS
avez	Vuc	AVOIR
du	Dp	DU
bien	Nc	BIEN
,	Fw	,
vous	Pp	VOUS
n’avez	Vvc	n’avez
point	Rg	POINT
d’enfants	Ag	d’enfants
,	Fw	,
votre	Ds	VOTRE
femme	Nc	FEMME
aime	Vvc	AIMER
le	Da	LE
faste	Nc	FASTE
,	Fw	,
la	Da	LE
dépense	Nc	DÉPENSE
,	Fw	,
c’est	Nc	c’est
là	Rg	LÀ
,	Fw	,
je	Pp	JE
crois	Vvc	CROIRE|CROÎTRE
sa	Ds	SON
plus	Rg	PLUS
grande	Ag	GRAND
folie	Nc	FOLIE
,	Fw	,
laissez	Vvc	LAISSER
la	Pp	IL
faire	Vvn	FAIRE
;	Fw	;
au	S+Da	À+LE
bout	Nc	BOUT
du	S+Da	DE+LE
compte	Nc	COMPTE
,	Fw	,
l’argent	Vvc	l’argent
n’est	Nc	n’est
fait	Vvc	FAIRE
que	Cs	QUE
pour	S	POUR
s’en	Nc	s’en
servir	Vvn	SERVIR
.	Fs	.
Oui	Rg	OUI
,	Fw	,
mais	Cc	MAIS
il	Pp	IL
t	Vvc	t
aurait	Vuc	AVOIR
un	Dn	UN
ridicule	Nc	RIDICULE
à	S	À
un	Dn	UN
simple	Ag	SIMPLE
Procureur	Nc	PROCUREUR
du	S+Da	DE+LE
Châtelet	Nc	Châtelet
comme	S	COMME
moi	Pp	JE
...	Fs	...
Procureur	Nc	PROCUREUR
tant	Rg	TANT
qu’il	Nc	qu’il
vous	Pp	VOUS
plaira	Vvc	PLAIRE
,	Fw	,
quand	Cs	QUAND
on	Pp	ON
gagne	Vvc	GAGNER
du	S+Da	DE+LE
bien	Nc	BIEN
,	Fw	,
il	Pp	IL
en	Pp	EN
faut	Vvc	FAILLIR|FALLOIR
jouir	Vvn	JOUIR
.	Fs	.
Il	Pp	IL
y	Pp	Y
aurait	Vuc	AVOIR
un	Dn	UN
grand	Ag	GRAND
ridicule	Nc	RIDICULE
à	S	À
ne	Rp	NE
le	Pp	IL
pas	Rg	PAS
faire	Vvn	FAIRE
.	Fs	.
Mais	Cc	MAIS
autrefois	Rg	AUTREFOIS
,	Fw	,
Monsieur	Ag	Monsieur
Naquart	Nc	Naquart
...	Fs	...
Autrefois	Vvc	Autrefois
,	Fw	,
Monsieur	Ag	Monsieur
Blandineau	Nc	Blandineau
,	Fw	,
on	Pp	ON
se	Pp	IL
gouvernait	Vvc	GOUVERNER
comme	S	COMME
autrefois	Rg	AUTREFOIS
.	Fs	.
Vivons	Vvc	VIVRE
à	S	À
présent	Nc	PRÉSENT
comme	Cs	COMME
dans	S	DANS
le	Da	LE
temps	Nc	TEMPS
présent	Ag	PRÉSENT
;	Fw	;
et	Cc	ET
puisque	Cs	PUISQUE
c’est	Nc	c’est
le	Da	LE
bien	Nc	BIEN
qui	Pr	QUI
fait	Vvc	FAIRE
vivre	Vvn	VIVRE
,	Fw	,
pourquoi	Rt	POURQUOI
ne	Rp	NE
pas	Rg	PAS
vivre	Vvn	VIVRE
selon	S	SELON
son	Ds	SON
bien	Nc	BIEN
?	Fs	?
Ne	Rp	NE
voudriez	Vvc	VOULOIR
-vous	Nc	-vous
point	Rg	POINT
supprimer	Vvn	SUPPRIMER
les	Da	LE
mouchoirs	Nc	MOUCHOIR
,	Fw	,
parce	Vvc	parce
qu’autrefois	Vvc	qu’autrefois
on	Pp	ON
se	Pp	IL
mouchait	Vvc	MOUCHER
sur	S	SUR
la	Da	LE
manche	Nc	MANCHE
?	Fs	?
Pourquoi	Rt	POURQUOI
non	Rg	NON
?	Fs	?
Je	Pp	JE
suis	Vuc	ÊTRE
ennemi	Nc	ENNEMI
des	S+Da	DE+LE|DE+LES
superfluités	Nc	SUPERFLUITÉ
,	Fw	,
je	Pp	JE
me	Pp	JE
contente	Vvc	CONTENTER
du	S+Da	DE+LE
nécessaire	Ag	NÉCESSAIRE
,	Fw	,
et	Cc	ET
je	Pp	JE
ne	Rp	NE
sache	Vvc	SAVOIR
rien	Pi	RIEN
au	S+Da	À+LE
monde	Nc	MONDE
de	S	DE
si	Rg	SI
beau	Ag	BEAU
,	Fw	,
que	Cs	QUE
la	Da	LE
simplicité	Nc	SIMPLICITÉ
du	S+Da	DE+LE
temps	Nc	TEMPS
passé	Ge	PASSER
.	Fs	.
Oui	Rg	OUI
,	Fw	,
mais	Cc	MAIS
si	Rg	SI
comme	Cs	COMME
au	S+Da	À+LE
temps	Nc	TEMPS
passé	Ge	PASSER
on	Pp	ON
vous	Pp	VOUS
donnait	Vvc	DONNER
trois	Nc	TROIS
sols	Nc	SOL
parisis	Ag	parisis
,	Fw	,
ou	Cc	OU
deux	Nc	DEUX
carolus	Nc	CAROLUS
pour	S	POUR
des	Dn	UN
écritures	Nc	ÉCRITURE
que	Pr	QUE
vous	Pp	VOUS
faites	Vvc	FAIRE
aujourd’hui	Rg	aujourd’hui
payer	Vvn	PAYER
trois	Nc	TROIS
ou	Cc	OU
quatre	Nc	QUATRE
pistoles	Nc	PISTOLE
,	Fw	,
cette	Dd	CE
simplicité	Nc	SIMPLICITÉ
-là	Vvc	-là
vous	Pp	VOUS
plairait-elle	Vvc	plairait-elle
,	Fw	,
Monsieur	Ag	Monsieur
Blandineau	Nc	Blandineau
?	Fs	?
Oh	I	OH
,	Fw	,
pour	S	POUR
cela	Pd	CELA
non	Rg	NON
,	Fw	,
je	Pp	JE
vous	Pp	VOUS
l’avoue	Vvc	l’avoue
.	Fs	.
Ce	Pd	CE
ne	Rp	NE
sont	Vuc	ÊTRE
pas	Rg	PAS
nos	Ds	NOTRE
droits	Nc	DROIT|DROITS
que	Pr	QUE
je	Pp	JE
veux	Vvc	VOULOIR
simples	Ag	SIMPLE
,	Fw	,
ce	Pd	CE
sont	Vuc	ÊTRE
nos	Ds	NOTRE
dépenses	Nc	DÉPENSE
.	Fs	.
Il	Pp	IL
faut	Vvc	FAILLIR|FALLOIR
régler	Vvn	RÉGLER
les	Da	LE
unes	Pi	UN
par	S	PAR
les	Da	LE
autres	Pi	AUTRE
,	Fw	,
Monsieur	Ag	Monsieur
Blandineau	Nc	Blandineau
,	Fw	,
à	S	À
la	Da	LE
sotte	Ag	SOT
vanité	Nc	VANITÉ
près	Rg	PRÈS
.	Fs	.
Les	Da	LE
manières	Nc	MANIÈRE
de	S	DE
votre	Ds	VOTRE
femme	Nc	FEMME
sont	Vuc	ÊTRE
très	Rg	TRÈS
bonnes	Ag	BON
,	Fw	,
les	Da	LE
ridicules	Nc	RIDICULE
que	Pr	QUE
vous	Pp	VOUS
lui	Pp	IL
trouvez	Vvc	TROUVER
ne	Rp	NE
sont	Vuc	ÊTRE
que	Rg	QUE
dans	S	DANS
votre	Ds	VOTRE
imagination	Nc	IMAGINATION
;	Fw	;
plus	Rg	PLUS
vous	Pp	VOUS
prétendez	Vvc	PRÉTENDRE
les	Pp	ILS
corriger	Vvn	CORRIGER
,	Fw	,
plus	Rg	PLUS
ils	Pp	ILS
augmenteront	Vvc	AUGMENTER
;	Fw	;
vous	Pp	VOUS
la	Pp	IL
contraindrez	Vvc	CONTRAINDRE
,	Fw	,
vous	Pp	VOUS
vous	Pp	VOUS
ferez	Vvc	FAIRE|FERRER
haïr	Vvn	HAÏR
.	Fs	.
Croyez	Vvc	CROIRE
-moi	Vvc	-moi
,	Fw	,
il	Pp	IL
vaut	Vvc	VALOIR
mieux	Rg	MIEUX
pour	S	POUR
vous	Pp	VOUS
et	Cc	ET
pour	S	POUR
elle	Pp	IL
que	Cs	QUE
vous	Pp	VOUS
vous	Pp	VOUS
accommodiez	Vvc	ACCOMMODER
à	S	À
ses	Ds	SON
fantaisies	Nc	FANTAISIE
,	Fw	,
que	Cs	QUE
de	S	DE
prétendre	Vvn	PRÉTENDRE
la	Da	LE
soumettre	Vvn	SOUMETTRE
aux	S+Da	À+LES
vôtres	As#Ps	VÔTRE
.	Fs	.
C’est	Nc	C’est
là	Rg	LÀ
votre	Ds	VOTRE
sentiment	Nc	SENTIMENT
,	Fw	,
mais	Cc	MAIS
ce	Dd	CE
n’est	Nc	n’est
pas	Rg	PAS
le	Da	LE
mien	Ps	MIEN
.	Fs	.
Que	Cs	QUE
je	Pp	JE
serai	Vuc	ÊTRE
ravi	Ge	RAVIR
de	S	DE
vous	Pp	VOUS
voir	Vvn	VOIR
le	Da	LE
mari	Nc	MARI
de	S	DE
ma	Ds	MON
belle-sœur	Nc	belle-sœur
la	Pp	IL
Greffière	Vvc	Greffière
!	Fs	!
Nous	Pp	NOUS
verrons	Vvc	VOIR
si	Cs	SI
vous	Pp	VOUS
raisonnez	Vvc	RAISONNER
aussi	Rg	AUSSI
de	S	DE
sang-froid	Nc	SANG-FROID
.	Fs	.
C’est	Nc	C’est
un	Dn	UN
plaisir	Nc	PLAISIR
que	Pr	QUE
vous	Pp	VOUS
aurez	Vuc	AVOIR
;	Fw	;
et	Cc	ET
puisque	Cs	PUISQUE
vous	Pp	VOUS
approuvez	Vvc	APPROUVER
la	Da	LE
chose	Nc	CHOSE
,	Fw	,
j’emploierai	Vvc	j’emploierai
,	Fw	,
pour	S	POUR
la	Pp	IL
faire	Vvn	FAIRE
réussir	Vvn	RÉUSSIR
,	Fw	,
des	S+Da	DE+LE|DE+LES
moyens	Nc	MOYEN|MOYENS
dont	Pr	DONT
je	Pp	JE
ne	Rp	NE
me	Pp	JE
servirais	Vvc	SERVIR
pas	Rg	PAS
sans	S	SANS
votre	Ds	VOTRE
aveu	Nc	AVEU
.	Fs	.
Et	Cc	ET
qu’est	Nc	qu’est
-ce	Vvc	-ce
que	Cs	QUE
c’est	Nc	c’est
,	Fw	,
que	Cs	QUE
ces	Dd	CE
moyens	Nc	MOYEN|MOYENS
?	Fs	?
Je	Pp	JE
vous	Pp	VOUS
les	Pp	ILS
communiquerai	Vvc	COMMUNIQUER
.	Fs	.
La	Da	LE
voici	I	VOICI
,	Fw	,
proposez	Vvc	PROPOSER
-lui	Nc	-lui
l’affaire	Vvc	l’affaire
;	Fw	;
selon	S	SELON
la	Da	LE
réponse	Nc	RÉPONSE
qu’elle	Vvc	qu’elle
vous	Pp	VOUS
fera	Vvc	FAIRE|FERRER
,	Fw	,
nous	Pp	NOUS
réglerons	Vvc	RÉGLER
les	Da	LE
mesures	Nc	MESURE
que	Pr	QUE
nous	Pp	NOUS
aurons	Vuc	AVOIR
à	S	À
prendre	Vvn	PRENDRE
ensemble	Rg	ENSEMBLE
.	Fs	.
Sans	S	SANS
adieu	Nc	ADIEU
,	Fw	,
je	Pp	JE
ne	Rp	NE
tarderai	Vvc	TARDER
pas	Rg	PAS
à	S	À
vous	Pp	VOUS
rendre	Vvn	RENDRE
réponse	Nc	RÉPONSE
.	Fs	.
Je	Pp	JE
ne	Rp	NE
saurais	Vvc	SAURER|SAVOIR
me	Pp	JE
tranquilliser	Vvn	TRANQUILLISER
là-dessus	Rg	LÀ-DESSUS
,	Fw	,
ma	Ds	MON
pauvre	Ag	PAUVRE
Lisette	Nc	LISETTE
,	Fw	,
cette	Dd	CE
journée	Nc	JOURNÉE
-ci	Pd	-ci
sera	Vuc	ÊTRE
malheureuse	Ag	MALHEUREUX
pour	S	POUR
moi	Pp	JE
,	Fw	,
je	Pp	JE
t’assure	Vvc	t’assure
;	Fw	;
j’ai	Vvc	j’ai
éternué	Ge	ÉTERNUER
trois	Vvc	TRAIRE
fois	Nc	FOI|FOIS
à	S	À
jeun	Nc	jeun
,	Fw	,
j’ai	Vvc	j’ai
le	Da	LE
teint	Nc	TEINT
brouillé	Ge	BROUILLER
,	Fw	,
l’œil	Nc	l’œil
nébuleux	Ag	NÉBULEUX
,	Fw	,
et	Cc	ET
je	Pp	JE
n’ai	Vvc	n’ai
jamais	Rg	JAMAIS
pu	Ge	POUVOIR
ce	Dd	CE
matin	Nc	MATIN|MÂTIN
donner	Vvn	DONNER
un	Dn	UN
bon	Ag	BON
tour	Nc	TOUR
à	S	À
mon	Ds	MON
crochet	Nc	CROCHET
gauche	Ag	GAUCHE
.	Fs	.
Ah	I	AH
?	Fs	?
Vous	Pp	VOUS
voilà	S	VOILÀ
,	Fw	,
ma	Ds	MON
sœur	Nc	sœur
,	Fw	,
j’allais	Vvc	j’allais
monter	Vvn	MONTER
chez	S	CHEZ
vous	Pp	VOUS
.	Fs	.
Chez	S	CHEZ
moi	Pp	JE
,	Fw	,
mon	Ds	MON
frère	Nc	FRÈRE
!	Fs	!
Et	Cc	ET
à	S	À
quel	Dt	QUEL
dessein	Nc	DESSEIN
?	Fs	?
Je	Pp	JE
n’aime	Vvc	n’aime
point	Rg	POINT
les	Da	LE
visites	Nc	VISITE
de	S	DE
famille	Nc	FAMILLE
,	Fw	,
comme	Cs	COMME
vous	Pp	VOUS
savez	Vvc	SAVOIR
.	Fs	.
Celle	Pd	CELUI
-ci	Vvc	-ci
ne	Rp	NE
vous	Pp	VOUS
aurait	Vuc	AVOIR
pas	Rg	PAS
déplu	Ge	DÉPLAIRE
.	Fs	.
Il	Pp	IL
s’agit	Vvc	s’agit
de	S	DE
vous	Pp	VOUS
marier	Vvn	MARIER
,	Fw	,
ma	Ds	MON
sœur	Nc	sœur
.	Fs	.
De	S	DE
me	Pp	JE
marier	Vvn	MARIER
,	Fw	,
mon	Ds	MON
frère	Nc	FRÈRE
,	Fw	,
de	S	DE
me	Pp	JE
marier	Vvn	MARIER
?	Fs	?
Cela	Pd	CELA
est	Vuc	ÊTRE
assez	Rg	ASSEZ
amusant	Ag	AMUSANT
,	Fw	,
vraiment	Rg	VRAIMENT
:	Fw	:
mais	Cc	MAIS
qu’est	Nc	qu’est
-ce	Vvc	-ce
que	Rg	QUE
c’est	Ag	c’est
que	Cs	QUE
le	Da	LE
mari	Nc	MARI
?	Fs	?
C’est	Nc	C’est
ce	Dd	CE
qu’il	Nc	qu’il
faut	Vvc	FAILLIR|FALLOIR
savoir	Vvn	SAVOIR
.	Fs	.
Un	Dn	UN
vieux	Ag	VIEUX
garçon	Nc	GARÇON
fort	Rg	FORT
riche	Ag	RICHE
:	Fw	:
Monsieur	Nc	MONSIEUR
Naquart	Nc	Naquart
,	Fw	,
Procureur	Nc	PROCUREUR
de	S	DE
la	Da	LE
Cour	Nc	COUR
.	Fs	.
Un	Dn	UN
vieux	Ag	VIEUX
garçon	Nc	GARÇON
à	S	À
moi	Pp	JE
?	Fs	?
Un	Dn	UN
Procureur	Nc	PROCUREUR
,	Fw	,
Lisette	Nc	LISETTE
?	Fs	?
Monsieur	Nc	MONSIEUR
Naquart	Nc	Naquart
!	Fs	!
Je	Pp	JE
serais	Vuc	ÊTRE
Madame	Nc	MADAME
Naquart	Nc	Naquart
,	Fw	,
moi	Pp	JE
?	Fs	?
Le	Da	LE
joli	Ag	JOLI
nom	Nc	NOM
que	Pr	QUE
Madame	Nc	MADAME
Naquart	Nc	Naquart
!	Fs	!
C’est	Nc	C’est
un	Dn	UN
plaisant	Ag	PLAISANT
visage	Nc	VISAGE
que	Rg	QUE
Monsieur	Ag	Monsieur
Naquart	Nc	Naquart
de	S	DE
songer	Vvn	SONGER
à	S	À
moi	Pp	JE
.	Fs	.
Hé	Vvc	Hé
fi	Rg	FI
,	Fw	,
Madame	Nc	MADAME
,	Fw	,
il	Pp	IL
faut	Vvc	FAILLIR|FALLOIR
faire	Vvn	FAIRE
châtier	Vvn	CHÂTIER
cet	Dd	CE
insolent	Ag	INSOLENT
-là	Nc	-là
.	Fs	.
Comment	Pt	COMMENT
donc	Rg	DONC
;	Fw	;
hé	I	HÉ
,	Fw	,
qui	Pr	QUI
êtes	Vuc	ÊTRE
-vous	Nc	-vous
,	Fw	,
s’il	Nc	s’il
vous	Pp	VOUS
plaît	Vvc	PLAIRE
?	Fs	?
Fille	Nc	FILLE
d’un	Ag	d’un
Huissier	Nc	HUISSIER
qui	Pr	QUI
était	Vuc	ÊTRE
le	Da	LE
père	Nc	PÈRE
de	S	DE
ma	Ds	MON
femme	Nc	FEMME
,	Fw	,
ma	Ds	MON
belle-sœur	Nc	belle-sœur
à	S	À
moi	Pp	JE
,	Fw	,
qui	Pr	QUI
ne	Rp	NE
suis	Vuc	ÊTRE
que	Rg	QUE
Procureur	Ag	Procureur
au	S+Da	À+LE
Châtelet	Nc	Châtelet
,	Fw	,
veuve	Nc	VEUF|VEUVE
d’un	Ag	d’un
Greffier	Nc	GREFFIER
à	S	À
la	Da	LE
Peau	Nc	PEAU
,	Fw	,
que	Cs	QUE
vous	Pp	VOUS
avez	Vuc	AVOIR
fait	Ge	FAIRE
mourir	Vvn	MOURIR
de	S	DE
chagrin	Ag	CHAGRIN
.	Fs	.
Je	Pp	JE
vous	Pp	VOUS
trouve	Vvc	TROUVER
admirable	Ag	ADMIRABLE
,	Fw	,
Madame	Nc	MADAME
la	Pp	IL
Greffière	Vvc	Greffière
.	Fs	.
Greffière	Vvc	Greffière
,	Fw	,
Monsieur	Nc	MONSIEUR
?	Fs	?
Supprimez	Vvc	SUPPRIMER
ce	Dd	CE
nom	Nc	NOM
-là	Vvc	-là
,	Fw	,
je	Pp	JE
vous	Pp	VOUS
prie	Vvc	PRIER
.	Fs	.
Feu	Nc	FEU
mon	Ds	MON
mari	Nc	MARI
est	Vuc	ÊTRE
mort	Ge	MOURIR
,	Fw	,
la	Da	LE
charge	Nc	CHARGE|CHARGÉ
est	Vuc	ÊTRE
vendue	Ge	VENDRE
,	Fw	,
je	Pp	JE
n’ai	Vvc	n’ai
plus	Rg	PLUS
de	S	DE
titre	Nc	TITRE
,	Fw	,
plus	Rg	PLUS
de	S	DE
qualité	Nc	QUALITÉ
,	Fw	,
je	Pp	JE
suis	Vuc	ÊTRE
une	Dn	UN
pierre	Nc	PIERRE
d’attente	Ag	d’attente
,	Fw	,
