Pourquoi	Rt	POURQUOI
honorer	Vvn	HONORER
la	Da	LE
mémoire	Nc	MÉMOIRE
,	Fw	,
Seigneur	Nc	SEIGNEUR
,	Fw	,
pour	S	POUR
me	Pp	JE
flatter	Vvn	FLATTER
de	S	DE
tant	Rg	TANT
de	S	DE
vaine	Ag	VAIN
gloire	Nc	GLOIRE
;	Fw	;
Il	Vvc	Il
est	Vuc	ÊTRE
vrai	Ag	VRAI
que	Cs	QUE
son	Ds	SON
choix	Nc	CHOIX
semble	Vvc	SEMBLER
tomber	Vvn	TOMBER
sur	S	SUR
moi	Pp	JE
,	Fw	,
Mais	Vvc	Mais
après	S	APRÈS
ce	Dd	CE
Héros	Nc	Héros
peut	Vvc	POUVOIR
-on	Nc	-on
élire	Vvn	ÉLIRE
un	Dn	UN
Roi	Nc	ROI
?	Fs	?
Quand	Cs	QUAND
la	Da	LE
Terre	Nc	TERRE
a	Vuc	AVOIR
perdu	Ge	PERDRE
son	Ds	SON
vainqueur	Nc	VAINQUEUR
et	Cc	ET
son	Ds	SON
maître	Nc	MAÎTRE
,	Fw	,
Est-il	Vvc	Est-il
un	Dn	UN
Successeur	Nc	SUCCESSEUR
qu'	Pr	QUE
elle	Pp	IL
puisse	Vvc	POUVOIR
connaître	Vvn	CONNAÎTRE
?	Fs	?
Le	Da	LE
présent	Nc	PRÉSENT
qu'	Pr	QUE
il	Pp	IL
m'	Pp	JE
a	Vuc	AVOIR
fait	Ge	FAIRE
n'	Rp	NE
a	Vuc	AVOIR
point	Rg	POINT
dû	Ge	DEVOIR
m'	Pp	JE
éblouir	Vvn	ÉBLOUIR
,	Fw	,
Il	Vvc	Il
peut	Vvc	POUVOIR
être	Vun	ÊTRE
fatal	Ag	FATAL
à	S	À
qui	Pr	QUI
veut	Vvc	VOULOIR
en	S	EN
jouir	Vvn	JOUIR
;	Fw	;
Quand	Nc	Quand
de	S	DE
la	Da	LE
Macédoine	Nc	Macédoine
Alexandre	Nc	Alexandre
eut	Vuc	AVOIR
l'	Da	LE
élite	Nc	ÉLITE
,	Fw	,
Il	Vvc	Il
avait	Vuc	AVOIR
moins	Rg	MOINS
de	S	DE
chefs	Nc	CHEF
que	Cs	QUE
de	S	DE
Rois	Vvc	Rois
à	S	À
sa	Ds	SON
suite	Nc	SUITE
,	Fw	,
Et	Vvc	Et
ce	Dd	CE
héros	Nc	HÉROS
vainqueur	Nc	VAINQUEUR
des	S+Da	DE+LE|DE+LES
Mèdes	Nc	Mèdes
,	Fw	,
des	S+Da	DE+LE|DE+LES
Persans	Nc	PERSAN
,	Fw	,
Ne	Vvc	Ne
nommait	Vvc	NOMMER
plus	Rg	PLUS
de	S	DE
Rois	Vvc	Rois
que	Cs	QUE
par	S	PAR
ses	Ds	SON
Lieutenants	Nc	LIEUTENANT
.	Fs	.
Je	Pp	JE
n'	Rp	NE
ai	Vuc	AVOIR
donc	Rg	DONC
point	Rg	POINT
voulu	Ge	VOULOIR
me	Pp	JE
parer	Vvn	PARER
d'	S	DE
un	Dn	UN
vain	Ag	VAIN
titre	Nc	TITRE
,	Fw	,
De	Vvc	De
tous	Di	TOUT
ses	Ds	SON
successeurs	Nc	SUCCESSEUR
je	Pp	JE
veux	Vvc	VOULOIR
être	Vun	ÊTRE
l'	Da	LE
arbitre	Nc	ARBITRE
,	Fw	,
J'	Vvc	J'
en	Pp	EN
ai	Vuc	AVOIR
fait	Ge	FAIRE
nommer	Vvn	NOMMER
un	Dn	UN
pour	S	POUR
le	Pp	IL
faire	Vvn	FAIRE
haïr	Vvn	HAÏR
,	Fw	,
Et	Vvc	Et
n'	Rp	NE
ai	Vuc	AVOIR
choisis	Vvc	CHOISIR
qu'	Cs	QUE
un	Dn	UN
Roi	Nc	ROI
qui	Pr	QUI
me	Pp	JE
sut	Vvc	SAVOIR
obéir	Vvn	OBÉIR
.	Fs	.
Ce	Pd	CE
n'	Rp	NE
est	Vuc	ÊTRE
donc	Rg	DONC
point	Rg	POINT
ce	Dd	CE
nom	Nc	NOM
où	Pr	OÙ
mon	Ds	MON
coeur	Nc	CUR
doit	Vvc	DEVOIR
prétendre	Vvn	PRÉTENDRE
,	Fw	,
Seigneur	Nc	SEIGNEUR
,	Fw	,
nous	Pp	NOUS
adorons	Vvc	ADORER
les	Da	LE
veuves	Nc	VEUF|VEUVE
d'	S	DE
Alexandre	Nc	Alexandre
,	Fw	,
Pourquoi	Vvc	Pourquoi
le	Pp	IL
taire	Vvn	TAIRE
encore	Rg	ENCORE
?	Fs	?
Pourquoi	Rt	POURQUOI
dissimuler	Vvn	DISSIMULER
?	Fs	?
Cassander	Vvc	Cassander
,	Fw	,
il	Pp	IL
est	Vuc	ÊTRE
temps	Nc	TEMPS
d'	S	DE
agir	Vvn	AGIR
et	Cc	ET
de	S	DE
parler	Vvn	PARLER
;	Fw	;
J'	Vvc	J'
adore	Nc	ADORÉ
Statira	Vvc	Statira
,	Fw	,
vous	Pp	VOUS
adorez	Vvc	ADORER
Roxane	Vvc	Roxane
,	Fw	,
Et	Vvc	Et
vous	Pp	VOUS
aimez	Vvc	AIMER
en	S	EN
vain	Ag	VAIN
cette	Dd	CE
fière	Ag	FIER
persane	Nc	PERSAN
,	Fw	,
J'	Vvc	J'
aime	Vvc	AIMER
en	S	EN
vain	Ag	VAIN
Statira	Vvc	Statira
,	Fw	,
mais	Cc	MAIS
il	Pp	IL
faut	Vvc	FAILLIR|FALLOIR
découvrir	Vvn	DÉCOUVRIR
Nos	Nc	NÔ
rivaux	Ag	RIVAL
trop	Rg	TROP
heureux	Ag	HEUREUX
,	Fw	,
et	Cc	ET
les	Pp	ILS
faire	Vvn	FAIRE
périr	Vvn	PÉRIR
;	Fw	;
Il	Vvc	Il
faut	Vvc	FAILLIR|FALLOIR
que	Cs	QUE
notre	Ds	NOTRE
adresse	Nc	ADRESSE
à	S	À
nos	Ds	NOTRE
forces	Nc	FORCE|FORCÉ
réponde	Vvc	RÉPONDRE
,	Fw	,
Maîtres	Vvc	Maîtres
de	S	DE
Babylone	Nc	Babylone
,	Fw	,
il	Pp	IL
faut	Vvc	FAILLIR|FALLOIR
l'	Pp	IL
être	Vun	ÊTRE
du	Dp	DU
Monde	Nc	MONDE
;	Fw	;
En	Vvc	En
vain	Ag	VAIN
Léonatus	Nc	Léonatus
prétend	Vvc	PRÉTENDRE
nous	Pp	NOUS
assiéger	Vvn	ASSIÉGER
,	Fw	,
Nous	Vvc	Nous
saurons	Vvc	SAURER|SAVOIR
le	Pp	IL
combattre	Vvn	COMBATTRE
,	Fw	,
et	Cc	ET
même	Rg	MÊME
nous	Pp	NOUS
venger	Vvn	VENGER
;	Fw	;
Pour	Nc	POUR
gouverner	Vvn	GOUVERNER
l'	Da	LE
Empire	Nc	EMPIRE
où	Pr	OÙ
nous	Pp	NOUS
devons	Vvc	DEVOIR
prétendre	Vvn	PRÉTENDRE
,	Fw	,
Il	Vvc	Il
faut	Vvc	FAILLIR|FALLOIR
nous	Pp	NOUS
assurer	Vvn	ASSURER
des	Dn	UN
veuves	Nc	VEUF|VEUVE
d'	S	DE
Alexandre	Nc	Alexandre
,	Fw	,
Et	Vvc	Et
fonder	Vvn	FONDER
sur	S	SUR
des	Dn	UN
droits	Nc	DROIT|DROITS
justes	Ag	JUSTE
et	Cc	ET
souverains	Ag	SOUVERAIN
,	Fw	,
Partager	Vvn	PARTAGER
son	Ds	SON
Empire	Nc	EMPIRE
et	Cc	ET
celui	Pd	CELUI
des	S+Da	DE+LE|DE+LES
humains	Nc	HUMAINS
.	Fs	.
Ce	Dd	CE
procédé	Nc	PROCÉDÉ
,	Fw	,
Seigneur	Nc	SEIGNEUR
,	Fw	,
me	Pp	JE
paraît	Vvc	PARAÎTRE
trop	Rg	TROP
sincère	Ag	SINCÈRE
,	Fw	,
Pour	Nc	POUR
cacher	Vvn	CACHER
plus	Rg	PLUS
longtemps	Rg	LONGTEMPS
ce	Pd	CE
que	Pr	QUE
j'	Pp	JE
ai	Vuc	AVOIR
voulu	Ge	VOULOIR
taire	Vvn	TAIRE
:	Fw	:
Oui	Ge	OUÏR
,	Fw	,
j'	Pp	JE
adore	Vvc	ADORER
Roxane	Vvc	Roxane
,	Fw	,
et	Cc	ET
son	Ds	SON
coeur	Nc	CUR
orgueilleux	Ag	ORGUEILLEUX
Dédaigne	Vvc	Dédaigne
mes	Ds	MON
soupirs	Nc	SOUPIR
,	Fw	,
et	Cc	ET
rejette	Vvc	REJETER
mes	Ds	MON
voeux	Nc	VU
;	Fw	;
Fière	Vvc	Fière
d'	S	DE
avoir	Vun	AVOIR
un	Dn	UN
fils	Nc	FIL|FILS
aussi	Rg	AUSSI
bien	Rg	BIEN
que	Pr	QUE
Barsine	Vvc	Barsine
,	Fw	,
Roxane	Vvc	Roxane
à	S	À
l'	Da	LE
Univers	Nc	UNIVERS
pour	S	POUR
maître	Nc	MAÎTRE
le	Pp	IL
destine	Vvc	DESTINER
,	Fw	,
Sans	Vvc	Sans
songer	Vvn	SONGER
que	Cs	QUE
ce	Dd	CE
fils	Nc	FIL|FILS
né	Ge	NAÎTRE
d'	S	DE
un	Dn	UN
sang	Nc	SANG
ennemi	Nc	ENNEMI
,	Fw	,
Le	Vvc	Le
fils	Nc	FIL|FILS
d'	S	DE
une	Dn	UN
persane	Nc	PERSAN
est	Vuc	ÊTRE
esclave	Ag	ESCLAVE
à	S	À
demi	Nc	DEMI
,	Fw	,
Et	Vvc	Et
que	Cs	QUE
la	Da	LE
Macédoine	Nc	Macédoine
a	Vuc	AVOIR
des	Dn	UN
Peuples	Nc	PEUPLE
trop	Rg	TROP
braves	Ag	BRAVE
Pour	Nc	POUR
se	Pp	IL
faire	Vvn	FAIRE
des	S+Da	DE+LE|DE+LES
Rois	Vvc	Rois
du	S+Da	DE+LE
sang	Nc	SANG
de	S	DE
leurs	Ds	LEUR
esclaves	Nc	ESCLAVE
;	Fw	;
Mais	Vvc	Mais
puis	Cs	PUIS
que	Cs	QUE
nous	Pp	NOUS
voyons	Vvc	VOIR
ces	Dd	CE
trônes	Nc	TRÔNE
,	Fw	,
ces	Dd	CE
États	Nc	États
,	Fw	,
Payer	Nc	PAYER
de	S	DE
notre	Ds	NOTRE
sang	Nc	SANG
,	Fw	,
et	Cc	ET
conquis	Vvc	CONQUÉRIR
par	S	PAR
nos	Ds	NOTRE
bras	Nc	BRAS
,	Fw	,
Nous	Vvc	Nous
pouvons	Vvc	POUVOIR
entre	S	ENTRE
nous	Pp	NOUS
les	Pp	ILS
partager	Vvn	PARTAGER
sans	S	SANS
crime	Nc	CRIME
,	Fw	,
Puis	Vvc	POUVOIR
qu'	Cs	QUE
il	Pp	IL
n'	Rp	NE
a	Vuc	AVOIR
point	Rg	POINT
laissé	Ge	LAISSER
d'	S	DE
héritier	Nc	HÉRITIER
légitime	Ag	LÉGITIME
,	Fw	,
Les	Vvc	Les
armes	Nc	ARME|ARMÉ
à	S	À
la	Da	LE
main	Nc	MAIN
,	Fw	,
nous	Pp	NOUS
ferons	Vvc	FAIRE|FERRER
voir	Vvn	VOIR
à	S	À
tous	Di	TOUT
Qu'	Ag	Qu'
Alexandre	Nc	Alexandre
n'	Rp	NE
a	Vuc	AVOIR
point	Rg	POINT
de	S	DE
Successeurs	Nc	SUCCESSEUR
que	Pr	QUE
nous	Pp	NOUS
.	Fs	.
Nos	Ds	NOTRE
desseins	Nc	DESSEIN
sont	Vuc	ÊTRE
pareils	Ag	PAREIL
ainsi	Rg	AINSI
que	Cs	QUE
nos	Ds	NOTRE
tendresses	Nc	TENDRESSE
,	Fw	,
Mais	Vvc	Mais
,	Fw	,
Seigneur	Nc	SEIGNEUR
,	Fw	,
il	Pp	IL
s'	Pp	SE
agit	Vvc	AGIR
du	S+Da	DE+LE
coeur	Nc	CUR
des	S+Da	DE+LE|DE+LES
deux	Nc	DEUX
Princesses	Vvc	Princesses
,	Fw	,
Nous	Vvc	Nous
aimons	Vvc	AIMER
l'	Da	LE
un	Pi	UN
et	Cc	ET
l'	Da	LE
autre	Pi	AUTRE
,	Fw	,
et	Cc	ET
peut-être	Rg	PEUT-ÊTRE
tous	Di	TOUT
deux	Nc	DEUX
Nous	Ag	Nous
aurons	Vuc	AVOIR
même	Ag	MÊME
sort	Nc	SORT
pour	S	POUR
de	Dn	UN
semblables	Ag	SEMBLABLE
feux	Nc	FEU|FEUX
;	Fw	;
J'	Vvc	J'
ai	Vuc	AVOIR
sauvé	Ge	SAUVER
Statira	Vvc	Statira
des	Dn	UN
fureurs	Nc	FUREUR
de	S	DE
Roxane	Nc	Roxane
En	Vvc	En
butte	Nc	BUTTE
aux	S+Da	À+LES
cruautés	Nc	CRUAUTÉ
de	S	DE
la	Da	LE
fière	Ag	FIER
Persane	Nc	PERSAN
,	Fw	,
Cette	Vvc	Cette
illustre	Ag	ILLUSTRE
Princesse	Nc	PRINCE|PRINCESSE
aurait	Vuc	AVOIR
perdu	Ge	PERDRE
le	Da	LE
jour	Nc	JOUR
Sans	Vvc	Sans
les	Da	LE
soins	Nc	SOIN
empressés	Ge	EMPRESSER
qu'	Cs	QUE
elle	Pp	IL
doit	Vvc	DEVOIR
à	S	À
l'	Da	LE
amour	Nc	AMOUR
;	Fw	;
Nous	Vvc	Nous
devons	Vvc	DEVOIR
pénétrer	Vvn	PÉNÉTRER
quelle	Dt	QUEL
jalouse	Ag	JALOUX
envie	Nc	ENVIE
L'	Ag	L'
a	Vuc	AVOIR
fait	Ge	FAIRE
incessamment	Rg	INCESSAMMENT
armer	Vvn	ARMER
contre	S	CONTRE
sa	Ds	SON
vie	Nc	VIE
,	Fw	,
Peut-être	Vvc	Peut-être
qu'	Cs	QUE
un	Dn	UN
rival	Nc	RIVAL
aimé	Ge	AIMER
de	S	DE
toutes	Di	TOUT
deux	Nc	DEUX
Leur	Ag	LEUR
a	Vuc	AVOIR
fait	Ge	FAIRE
rejeter	Vvn	REJETER
nos	Ds	NOTRE
services	Nc	SERVICE
,	Fw	,
nos	Ds	NOTRE
voeux	Nc	VU
;	Fw	;
Statira	Vvc	Statira
malgré	S	MALGRÉ
moi	Pp	JE
veut	Vvc	VOULOIR
suivre	Vvn	SUIVRE
Ptolomée	Vvc	Ptolomée
,	Fw	,
Peut-être	Vvc	Peut-être
ce	Dd	CE
rival	Nc	RIVAL
est-il	Ag	est-il
dans	S	DANS
son	Ds	SON
armée	Nc	ARMÉE
?	Fs	?
Léonatus	Nc	Léonatus
peut-être	Rg	PEUT-ÊTRE
,	Fw	,
ah	I	AH
!	Fs	!
Seigneur	Nc	SEIGNEUR
,	Fw	,
j'	Pp	JE
en	Pp	EN
frémis	Vvc	FRÉMIR
...	Fs	...
Oui	Vvc	Oui
,	Fw	,
c'	Pd	CE
est	Vuc	ÊTRE
le	Da	LE
plus	Rg	PLUS
mortel	Ag	MORTEL
de	S	DE
tous	Di	TOUT
vos	Ds	VOTRE
ennemis	Nc	ENNEMI
,	Fw	,
Léonatus	Nc	Léonatus
,	Fw	,
Seigneur	Nc	SEIGNEUR
,	Fw	,
dans	S	DANS
le	Da	LE
parti	Nc	PARTI
contraire	Ag	CONTRAIRE
Sans	Vvc	Sans
doute	Nc	DOUTE
est	Vuc	ÊTRE
ce	Dd	CE
rival	Nc	RIVAL
que	Cs	QUE
leur	Ds	LEUR
coeur	Nc	CUR
nous	Pp	NOUS
préfère	Vvc	PRÉFÉRER
?	Fs	?
Je	Pp	JE
sais	Vvc	SAVOIR
trop	Rg	TROP
,	Fw	,
à	S	À
son	Ds	SON
nom	Nc	NOM
,	Fw	,
et	Cc	ET
mes	Ds	MON
yeux	Nc	OEIL|YEUX
me	Pp	JE
l'	Pp	IL
ont	Vuc	AVOIR
dit	Ge	DIRE
,	Fw	,
Que	Vvc	Que
Statira	Vvc	Statira
soupire	Ge	SOUPIRER
,	Fw	,
et	Cc	ET
Roxane	Vvc	Roxane
rougit	Vvc	ROUGIR
;	Fw	;
C'	Vvc	C'
est	Vuc	ÊTRE
assez	Rg	ASSEZ
pour	S	POUR
tirer	Vvn	TIRER
de	S	DE
fortes	Ag	FORT
conjectures	Nc	CONJECTURE
,	Fw	,
Pénétrons	Vvc	Pénétrons
leurs	Ds	LEUR
desseins	Nc	DESSEIN
pour	S	POUR
prendre	Vvn	PRENDRE
nos	Ds	NOTRE
mesures	Nc	MESURE
,	Fw	,
Il	Vvc	Il
faut	Vvc	FAILLIR|FALLOIR
approfondir	Vvn	APPROFONDIR
ce	Dd	CE
mystère	Nc	MYSTÈRE
en	S	EN
ce	Dd	CE
jour	Nc	JOUR
,	Fw	,
Ici	Vvc	Ici
la	Da	LE
Politique	Nc	POLITIQUE
est	Vuc	ÊTRE
unie	Ge	UNIR
à	S	À
l'	Da	LE
Amour	Nc	AMOUR
.	Fs	.
Roxane	Vvc	Roxane
vient	Vvc	VENIR
,	Fw	,
parlez	Vvc	PARLER
,	Fw	,
l'	Da	LE
occasion	Nc	OCCASION
est	Vuc	ÊTRE
belle	Ag	BEAU
,	Fw	,
Seigneur	Nc	SEIGNEUR
,	Fw	,
je	Pp	JE
me	Pp	JE
retire	Vvc	RETIRER
,	Fw	,
et	Cc	ET
vous	Pp	VOUS
laisse	Vvc	LAISSER
avec	S	AVEC
elle	Pp	IL
.	Fs	.
Nous	Pp	NOUS
sommes	Vuc	ÊTRE
investis	Ge	INVESTIR
,	Fw	,
déjà	Rg	DÉJÀ
Léonatus	Nc	Léonatus
Nous	Ag	Nous
menace	Vvc	MENACER
et	Cc	ET
nous	Pp	NOUS
compte	Vvc	COMPTER
au	S+Da	À+LE
nombre	Nc	NOMBRE
des	S+Da	DE+LE|DE+LES
Vaincus	Nc	VAINCU
;	Fw	;
Mais	Vvc	Mais
avant	S	AVANT
que	Cs	QUE
son	Ds	SON
bras	Nc	BRAS
ose	Vvc	OSER
rien	Pi	RIEN
entreprendre	Vvn	ENTREPRENDRE
,	Fw	,
Il	Vvc	Il
demande	Vvc	DEMANDER
à	S	À
nous	Pp	NOUS
voir	Vvn	VOIR
,	Fw	,
Seigneur	Nc	SEIGNEUR
,	Fw	,
il	Pp	IL
faut	Vvc	FAILLIR|FALLOIR
l'	Pp	IL
entendre	Vvn	ENTENDRE
,	Fw	,
Il	Vvc	Il
m'	Pp	JE
a	Vuc	AVOIR
fait	Ge	FAIRE
demander	Vvn	DEMANDER
un	Dn	UN
otage	Nc	OTAGE
,	Fw	,
et	Cc	ET
je	Pp	JE
viens	Vvc	VENIR
D'	Rg	D'
envoyer	Vvn	ENVOYER
Alcetas	Vvc	Alcetas
suivi	Ge	SUIVRE
de	S	DE
deux	Nc	DEUX
des	S+Da	DE+LE|DE+LES
miens	Ps	MIEN
,	Fw	,
Dans	Vvc	Dans
peu	Rg	PEU
nous	Pp	NOUS
le	Pp	IL
verrons	Vvc	VOIR
...	Fs	...
Hé	Vvc	Hé
!	Fs	!
Que	Pt	QUE
voulez	Vvc	VOULOIR
-vous	Nc	-vous
faire	Vvn	FAIRE
?	Fs	?
Recevoir	Vvn	RECEVOIR
dans	S	DANS
nos	Ds	NOTRE
murs	Nc	MUR|MURS
un	Dn	UN
mortel	Ag	MORTEL
adversaire	Nc	ADVERSAIRE
?	Fs	?
Vient-il	Vvc	Vient-il
nous	Pp	NOUS
menacer	Vvn	MENACER
?	Fs	?
Et	Cc	ET
quel	Dt	QUEL
est	Vuc	ÊTRE
son	Ds	SON
dessein	Nc	DESSEIN
?	Fs	?
Laissez-nous	Vvc	Laissez-nous
lui	Pp	IL
parler	Vvn	PARLER
les	Da	LE
armes	Nc	ARME|ARMÉ
à	S	À
la	Da	LE
main	Nc	MAIN
,	Fw	,
Et	Vvc	Et
Perdiccas	Vvc	Perdiccas
et	Cc	ET
moi	Pp	JE
,	Fw	,
Madame	Nc	MADAME
...	Fs	...
Il	Vvc	Il
faut	Vvc	FAILLIR|FALLOIR
l'	Pp	IL
entendre	Vvn	ENTENDRE
,	Fw	,
Ce	Vvc	Ce
Prince	Vvc	Prince
redoutable	Ag	REDOUTABLE
est	Vuc	ÊTRE
du	Dp	DU
sang	Nc	SANG
d'	S	DE
Alexandre	Nc	Alexandre
;	Fw	;
On	Vvc	On
doit	Vvc	DEVOIR
le	Pp	IL
respecter	Vvn	RESPECTER
.	Fs	.
Peut-être	Vvc	Peut-être
en	S	EN
ce	Dd	CE
moment	Nc	MOMENT
Vient-il	Vvc	Vient-il
nous	Pp	NOUS
proposer	Vvn	PROPOSER
quelque	Di	QUELQUE
accommodement	Nc	ACCOMMODEMENT
,	Fw	,
Seigneur	Nc	SEIGNEUR
,	Fw	,
j'	Pp	JE
ai	Vuc	AVOIR
mes	Ds	MON
desseins	Nc	DESSEIN
...	Fs	...
Et	Vvc	Et
nous	Pp	NOUS
avons	Vuc	AVOIR
les	Da	LE
nôtres	As#Ps	NÔTRE
,	Fw	,
Que	Vvc	Que
nous	Pp	NOUS
saurons	Vvc	SAURER|SAVOIR
régler	Vvn	RÉGLER
,	Fw	,
Madame	Nc	MADAME
,	Fw	,
sur	S	SUR
les	Da	LE
vôtres	As#Ps	VÔTRE
.	Fs	.
Alexandre	Nc	Alexandre
n'	Rp	NE
est	Vuc	ÊTRE
plus	Rg	PLUS
:	Fw	:
dans	S	DANS
ce	Dd	CE
débris	Nc	DÉBRIS
commun	Ag	COMMUN
Il	Vvc	Il
laisse	Vvc	LAISSER
à	S	À
l'	Da	LE
Univers	Nc	UNIVERS
vingt	Nc	VINGT
maîtres	Nc	MAÎTRE
au	S+Da	À+LE
lieu	Nc	LIEU
d'	S	DE
un	Pi	UN
;	Fw	;
Vous	Nc	Vous
en	Pp	EN
avez	Vuc	AVOIR
un	Dn	UN
fils	Nc	FIL|FILS
,	Fw	,
vous	Pp	VOUS
lui	Pp	IL
devez	Vvc	DEVOIR
un	Dn	UN
trône	Nc	TRÔNE
,	Fw	,
Madame	Nc	MADAME
,	Fw	,
choisissez	Vvc	CHOISIR
la	Da	LE
Perse	Nc	PERSE
et	Cc	ET
Babylone	Vvc	Babylone
,	Fw	,
Le	Vvc	Le
Pont	Vvc	Pont
,	Fw	,
la	Da	LE
Macédoine	Nc	Macédoine
,	Fw	,
et	Cc	ET
tant	Rg	TANT
d'	S	DE
